;SUBJECT_ID;;IP;;;;QUESTION_ID;IMAGE_ID;GT_ANSWER;MODEL;COLOR_COND;GT_CONFORM;DATASET;EXP_LIST;;ANSW_CORRECT;SHAPES;COLORS;MATERIALS;GEN_SCENE;COMPETENT;
id;9lf5ed7m02ovi458k7e2mgmskd;ip;115.188.165.154;time;1714124083;data;I want to participate;;;;;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124099;data;I want to participate;;;;;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124128;data;60abb40fe8824c6f9007faeb;26;female;native;Next;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124145;data;I want to participate;;;;;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124156;data;Yes;;;;;;;;;;;;;;;
id;omubbhv2c8vm1gv0odujj8r2rg;ip;124.150.92.167;time;1714124158;data;I want to participate;;;;;;;;;;;;;;;
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124170;data;60428fd2aefb7019ed8fdd34;28;female;native;Next;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124182;data;"<id:	QUESTION_ID	552504005	";"	IMAGE_ID	552504	";"	GT_ANSWER	flying kite	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	vqax	";"	EXP_LIST	trial	>";<id:>;yes;5;3;5;5;5;Next
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124184;data;Next;;;;;;;;;;;;;;;
id;omubbhv2c8vm1gv0odujj8r2rg;ip;124.150.92.167;time;1714124185;data;65e07affd71e6eb2a1f2cb79;45;male;native;Next;;;;;;;;;;;
id;7fkg2j0sdmmq65fhkoh82thkv1;ip;41.121.83.34;time;1714124203;data;"<id:	QUESTION_ID	132487	";"	IMAGE_ID	13249	";"	GT_ANSWER	blue	";"	MODEL	nlx-gpt	";"	COLOR_COND	clr	";"	GT_CONFORM	yes	";"	DATASET	clevrx	";"	EXP_LIST	1	>";<id:>;yes;5;5;5;5;5;Next
id;2kuqn9volvquovn99s0thtumk0;ip;102.132.215.54;time;1714124228;data;Yes;;;;;;;;;;;;;;;
id;omubbhv2c8vm1gv0odujj8r2rg;ip;124.150.92.167;time;1714124233;data;Yes;;;;;;;;;;;;;;;
